HKKOOD	SAP_HKKOOD	NIMETUS	HIND	HULK	ALATES_KUUP	KUNI_KUUP	PA_HM	HKLIIK	AMB_STATS	HAMB_TUNNUS			
2002	000000000000002002	Kardioloogia	78,33	8	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2002	000000000000002002	Kardioloogia	83,31	8	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	21,09	10	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	21,92	10	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	23,65	10	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	25,18	10	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	34,45	10	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	37,90	10	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	37,90	10	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	44,99	10	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	51,00	4	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	53,30	4	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	53,32	4	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	55,95	4	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	62,85	4	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	66,79	4	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2003	000000000000002003	Kutsehaigused	70,62	4	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	22,37	8	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	23,26	8	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	25,12	8	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	26,78	8	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	36,11	8	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	39,75	8	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	39,75	8	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	48,32	8	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	55,73	6	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	58,35	6	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	58,35	6	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	68,11	6	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	72,60	6	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	77,83	6	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2005	000000000000002005	Endokrinoloogia	82,96	6	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	21,09	8	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	21,92	8	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	23,65	8	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	25,18	8	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	34,45	8	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	37,90	8	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	42,69	8	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	51,45	8	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	59,25	8	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	62,12	8	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	62,12	8	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	72,97	8	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	77,63	8	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	82,91	8	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2006	000000000000002006	Nakkushaigused (sh laste nakkushaigused)	88,10	8	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	28,76	8	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	29,91	8	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	32,28	8	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	34,38	8	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	43,97	8	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	48,38	8	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	49,21	8	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	60,01	8	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	69,79	8	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	72,86	8	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	72,86	8	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	83,46	8	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	88,76	8	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	95,19	8	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2007	000000000000002007	Nakkushaigused (sh laste nakkushaigused) lõikes 15 nimetatud diagnooside korral	101,52	8	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	25,56	9	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	26,59	9	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	28,70	9	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	30,55	9	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	40,01	9	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	44,04	9	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	58,35	9	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	67,04	9	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	75,22	7	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	78,80	7	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	78,80	7	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	90,54	7	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	95,26	45	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	100,54	45	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2008	000000000000002008	Hematoloogia	105,73	45	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	22,37	10	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	23,26	10	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	25,12	10	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	26,78	10	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	36,11	10	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	39,75	10	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	40,58	10	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	49,15	10	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	56,56	7	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	59,25	7	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	59,25	7	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	63,85	7	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	71,09	7	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	76,15	7	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2009	000000000000002009	Nefroloogia	81,13	7	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	22,37	10	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	23,26	10	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	25,12	10	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	26,78	10	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	36,11	10	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	39,75	10	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	40,01	10	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	48,57	10	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	55,99	6	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	58,67	6	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	58,67	6	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	68,90	6	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	73,40	6	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	78,62	6	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2010	000000000000002010	Gastroenteroloogia	83,76	6	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	20,45	8	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	21,28	8	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	23,01	8	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	24,48	8	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	34,51	8	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	37,96	8	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	42,76	8	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	52,02	8	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	60,14	6	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	62,95	6	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	62,95	6	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	71,79	6	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	76,61	6	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	82,05	6	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2011	000000000000002011	Kirurgia (16-aastane ja vanem isik)	87,39	6	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	20,45	7	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	21,28	7	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	23,01	7	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	24,48	7	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	34,51	7	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	37,96	7	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	42,69	7	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	51,83	7	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	59,95	4	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	62,70	4	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	62,70	4	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	71,40	4	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	76,22	4	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	81,65	4	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2012	000000000000002012	Kirurgia (alla 16-aastane isik)	86,99	4	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	20,45	11	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	21,28	11	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	23,01	11	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	24,48	11	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	34,51	11	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	37,96	11	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	42,69	11	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	51,83	11	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	59,95	6	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	62,70	6	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	62,70	6	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	71,40	6	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	84,58	6	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	90,75	6	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2013	000000000000002013	Neurokirurgia	96,65	6	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	20,45	10	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	21,28	10	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	23,01	10	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	24,48	10	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	34,51	10	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	37,96	10	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	42,69	10	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	51,83	10	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	59,95	8	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	62,70	8	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	62,70	8	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	71,40	8	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	76,22	8	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	81,65	8	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2014	000000000000002014	Torakaalkirurgia	86,99	8	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	20,45	10	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	21,28	10	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	23,01	10	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	24,48	10	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	34,51	10	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	37,96	10	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	42,69	10	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	51,83	10	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	59,95	6	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	62,70	6	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	62,70	6	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	72,77	6	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	77,59	6	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	83,02	6	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2015	000000000000002015	Kardiokirurgia	88,36	6	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	20,45	10	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	21,28	10	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	23,01	10	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	24,48	10	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	34,51	10	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	37,96	10	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	42,69	10	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	51,83	10	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	59,95	7	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	62,70	7	1.07.2009	31.12.2010		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	62,70	7	1.01.2011	28.02.2013		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	71,40	7	1.03.2013	31.12.2013		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	76,22	7	1.01.2014	31.12.2014		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	81,65	7	1.01.2015	31.12.2015		VOODIPÄEVAD	12				
2016	000000000000002016	Traumatoloogia	86,99	7	1.01.2016	31.12.2016		VOODIPÄEVAD	12				
2017	000000000000002017	Septiline luu-liigesekirurgia	22,37	20	1.02.1999	30.04.2001		VOODIPÄEVAD	12				
2017	000000000000002017	Septiline luu-liigesekirurgia	23,26	20	1.05.2001	31.05.2002		VOODIPÄEVAD	12				
2017	000000000000002017	Septiline luu-liigesekirurgia	25,12	20	1.06.2002	31.08.2002		VOODIPÄEVAD	12				
2017	000000000000002017	Septiline luu-liigesekirurgia	26,78	20	1.09.2002	30.06.2003		VOODIPÄEVAD	12				
2017	000000000000002017	Septiline luu-liigesekirurgia	36,88	20	1.07.2003	31.12.2004		VOODIPÄEVAD	12				
2017	000000000000002017	Septiline luu-liigesekirurgia	40,58	20	1.01.2005	31.12.2005		VOODIPÄEVAD	12				
2017	000000000000002017	Septiline luu-liigesekirurgia	42,69	20	1.01.2006	31.12.2006		VOODIPÄEVAD	12				
2017	000000000000002017	Septiline luu-liigesekirurgia	51,83	20	1.01.2007	31.12.2007		VOODIPÄEVAD	12				
2017	000000000000002017	Septiline luu-liigesekirurgia	59,95	20	1.01.2008	30.06.2009		VOODIPÄEVAD	12				
